[381976,785951] [401018,789123]
[359939,80944] [375036,93016]
[631970,744145] [651040,740951]
[713099,793987] [703989,811061]
[457978,287095] [473081,274981]
[727027,771998] [719852,790000]
[563024,834027] [555989,815948]
[267946,509958] [275040,528033]
[141916,711945] [149011,730024]
[69837,218004] [77069,199957]
[104993,946129] [124006,941836]
[476951,381916] [496010,386031]
[823999,485859] [840012,497031]
[422910,946983] [439029,958021]
[786980,263800] [806005,268244]
[661993,681082] [673036,664962]
[983065,364958] [966984,376072]
[392992,759988] [412033,765202]
[623950,915056] [643034,909997]
[292890,382000] [301003,363975]
[369963,906988] [388037,915003]
[201007,328018] [186999,313928]
[674977,220101] [689007,205984]
[844006,609019] [830924,593990]
[133066,97009] [118966,82927]
[369007,906004] [362942,886980]
[574007,733002] [573477,712990]
[406092,684985] [404897,705015]
[503135,829985] [501601,850014]
[963904,397005] [966079,376974]
[710975,758112] [723020,741937]
[12262,136991] [9733,157029]
[133987,97072] [152025,87947]
[56001,890990] [35994,894003]
[572997,221059] [582134,202970]
[618051,457016] [598980,449927]
[104027,946992] [84964,954225]
[663024,722934] [651995,740092]
[331843,376990] [336036,397006]
[14912,104980] [19188,125010]
[209015,758842] [188980,763135]
[773041,270999] [757978,285046]
[164005,109933] [148947,124011]
[376935,774029] [392038,759991]
[418059,938061] [402984,923985]
[597025,218075] [582932,202996]
[893021,353976] [874974,364022]
[39130,527008] [24978,511959]
[655047,574977] [649988,595017]
[65080,65005] [48992,51975]
[547936,644011] [561004,627951]
[173129,466042] [159970,449970]
[568043,797959] [555979,815005]
[93039,343943] [72982,350010]
[486967,196974] [493056,217030]
[376010,774076] [355998,767811]
[953005,308154] [931995,308172]
[245995,508808] [267002,509283]
[184822,75019] [185194,53993]
[592979,597862] [614009,598361]
[983983,364980] [993024,384045]
[872995,106057] [882001,86941]
[663034,722010] [660861,700967]
[377705,837005] [380166,815992]
[540188,805005] [536971,783995]
[813968,514008] [817173,492991]
[184047,75992] [180825,97020]
[122046,547998] [100979,551078]
[783981,286968] [798014,303062]
[77956,199035] [92071,182975]
[294990,589931] [311117,604001]
[977988,306985] [982081,328023]
[962965,464011] [984008,459822]
[320964,188954] [341015,197033]
[836033,219891] [816899,230001]
[954044,888963] [945857,909011]
[477050,414079] [456940,405942]
[595977,41950] [608016,60071]
[754914,511997] [761010,533008]
[249051,640018] [242760,618981]
[366913,102998] [382021,119000]
[698479,589999] [697822,612000]
[741010,175051] [731951,154985]
[956524,689006] [955865,666979]
[61008,181067] [38988,179989]
[878956,259982] [898018,271062]
